Marketing year,Marketing year quarter,Beginning stocks,Production 1/,Imports 2/,Total supply,Consumption,Exports 2/,Total use,Ending stocks,Discrepancy 3/,Corn used for fuel ethanol,Sorghum used for fuel ethanol
1980,Q2 Dec-Feb,NA,"13,428",NA,NA,"13,428",NA,NA,NA,NA,NA,NA
1980,Q3 Mar-May,NA,"20,939",NA,NA,"20,939",NA,NA,NA,NA,NA,NA
1980,Q4 Jun-Aug,NA,"20,939",NA,NA,"20,939",NA,NA,NA,NA,NA,NA
1981,Q1 Sep-Nov,NA,"20,712",NA,NA,"20,712",NA,NA,NA,NA,NA,NA
1981,Q2 Dec-Feb,NA,"43,504",NA,NA,"43,504",NA,NA,NA,NA,NA,NA
1981,Q3 Mar-May,NA,"56,835",NA,NA,"56,835",NA,NA,NA,NA,NA,NA
1981,Q4 Jun-Aug,NA,"56,835",NA,NA,"56,835",NA,NA,NA,NA,NA,NA
1981,MY Sep-Aug,NA,"177,886",NA,NA,"177,886",NA,NA,NA,NA,NA,NA
1982,Q1 Sep-Nov,NA,"56,217",NA,NA,"56,217",NA,NA,NA,NA,NA,NA
1982,Q2 Dec-Feb,NA,"86,293",NA,NA,"86,293",NA,NA,NA,NA,NA,NA
1982,Q3 Mar-May,NA,"104,696",NA,NA,"104,696",NA,NA,NA,NA,NA,NA
1982,Q4 Jun-Aug,NA,"104,696",NA,NA,"104,696",NA,NA,NA,NA,NA,NA
1982,MY Sep-Aug,NA,"351,904",NA,NA,"351,904",NA,NA,NA,NA,NA,NA
1983,Q1 Sep-Nov,NA,"103,558",NA,NA,"103,558",NA,NA,NA,NA,NA,NA
1983,Q2 Dec-Feb,NA,"118,936",NA,NA,"118,936",NA,NA,NA,NA,NA,NA
1983,Q3 Mar-May,NA,"128,276",NA,NA,"128,276",NA,NA,NA,NA,NA,NA
1983,Q4 Jun-Aug,NA,"128,276",NA,NA,"128,276",NA,NA,NA,NA,NA,NA
1983,MY Sep-Aug,NA,"479,046",NA,NA,"479,046",NA,NA,NA,NA,NA,NA
1984,Q1 Sep-Nov,NA,"126,881",NA,NA,"126,881",NA,NA,NA,NA,NA,NA
1984,Q2 Dec-Feb,NA,"142,977",NA,NA,"142,977",NA,NA,NA,NA,NA,NA
1984,Q3 Mar-May,NA,"155,549",NA,NA,"155,549",NA,NA,NA,NA,NA,NA
1984,Q4 Jun-Aug,NA,"155,549",NA,NA,"155,549",NA,NA,NA,NA,NA,NA
1984,MY Sep-Aug,NA,"580,957",NA,NA,"580,957",NA,NA,NA,NA,NA,NA
1985,Q1 Sep-Nov,NA,"153,858",NA,NA,"153,858",NA,NA,NA,NA,NA,NA
1985,Q2 Dec-Feb,NA,"167,514",NA,NA,"167,514",NA,NA,NA,NA,NA,NA
1985,Q3 Mar-May,NA,"179,480",NA,NA,"179,480",NA,NA,NA,NA,NA,NA
1985,Q4 Jun-Aug,NA,"179,480",NA,NA,"179,480",NA,NA,NA,NA,NA,NA
1985,MY Sep-Aug,NA,"680,332",NA,NA,"680,332",NA,NA,NA,NA,NA,NA
1986,Q1 Sep-Nov,NA,"177,529",NA,NA,"177,529",NA,NA,NA,NA,NA,NA
1986,Q2 Dec-Feb,NA,"192,843",NA,NA,"192,843",NA,NA,NA,NA,NA,NA
1986,Q3 Mar-May,NA,"206,401",NA,NA,"206,401",NA,NA,NA,NA,NA,NA
1986,Q4 Jun-Aug,NA,"206,401",NA,NA,"206,401",NA,NA,NA,NA,NA,NA
1986,MY Sep-Aug,NA,"783,175",NA,NA,"783,175",NA,NA,NA,NA,NA,NA
1987,Q1 Sep-Nov,NA,"204,158",NA,NA,"204,158",NA,NA,NA,NA,NA,NA
1987,Q2 Dec-Feb,NA,"205,736",NA,NA,"205,736",NA,NA,NA,NA,NA,NA
1987,Q3 Mar-May,NA,"208,821",NA,NA,"208,821",NA,NA,NA,NA,NA,NA
1987,Q4 Jun-Aug,NA,"208,821",NA,NA,"208,821",NA,NA,NA,NA,NA,NA
1987,MY Sep-Aug,NA,"827,535",NA,NA,"827,535",NA,NA,NA,NA,NA,NA
1988,Q1 Sep-Nov,NA,"206,551",NA,NA,"206,551",NA,NA,NA,NA,NA,NA
1988,Q2 Dec-Feb,NA,"206,566",NA,NA,"206,566","7,355","213,922",NA,NA,NA,NA
1988,Q3 Mar-May,NA,"212,384",NA,NA,"212,384","4,403","216,787",NA,NA,NA,NA
1988,Q4 Jun-Aug,NA,"212,384",NA,NA,"212,384","2,735","215,119",NA,NA,NA,NA
1988,MY Sep-Aug,NA,"837,886",NA,NA,"837,886","14,493","852,378",NA,NA,NA,NA
1989,Q1 Sep-Nov,NA,"210,076",NA,NA,"210,076","7,675","217,751",NA,NA,NA,NA
1989,Q2 Dec-Feb,NA,"192,420",NA,NA,"192,420","53,063","245,483",NA,NA,NA,NA
1989,Q3 Mar-May,NA,"188,453",NA,NA,"188,453","59,016","247,469",NA,NA,NA,NA
1989,Q4 Jun-Aug,NA,"188,453",NA,NA,"188,453","25,218","213,672",NA,NA,NA,NA
1989,MY Sep-Aug,NA,"779,403",NA,NA,"779,403","144,972","924,375",NA,NA,NA,NA
1990,Q1 Sep-Nov,NA,"186,405",NA,NA,"186,405","14,389","200,794",NA,NA,NA,NA
1990,Q2 Dec-Feb,NA,"203,540",NA,NA,"203,540","22,246","225,786",NA,NA,NA,NA
1990,Q3 Mar-May,NA,"218,367",NA,NA,"218,367","24,646","243,013",NA,NA,NA,NA
1990,Q4 Jun-Aug,NA,"218,367",NA,NA,"218,367","7,805","226,172",NA,NA,NA,NA
1990,MY Sep-Aug,NA,"826,679",NA,NA,"826,679","69,086","895,764",NA,NA,NA,NA
1991,Q1 Sep-Nov,NA,"215,993",NA,NA,"215,993","5,126","221,119",NA,NA,NA,NA
1991,Q2 Dec-Feb,NA,"235,059",NA,NA,"235,059","1,991","237,050",NA,NA,NA,NA
1991,Q3 Mar-May,NA,"247,602",NA,NA,"247,602","1,410","249,012",NA,NA,NA,NA
1991,Q4 Jun-Aug,NA,"247,602",NA,NA,"247,602","8,530","256,131",NA,NA,NA,NA
1991,MY Sep-Aug,NA,"946,256",NA,NA,"946,256","17,057","963,313",NA,NA,NA,NA
1992,Q1 Sep-Nov,NA,"244,910",NA,NA,"244,910","6,937","251,847",NA,NA,NA,NA
1992,Q2 Dec-Feb,NA,"269,449","4,756",NA,"264,871","4,550","269,421","81,732",NA,NA,NA
1992,Q3 Mar-May,"81,732","296,478","10,405","388,615","277,662","8,431","286,093","102,522",0,NA,NA
1992,Q4 Jun-Aug,"102,522","272,370","7,186","382,078","254,352","4,204","258,556","123,522",0,NA,NA
1992,MY Sep-Aug,NA,"1,083,207","22,347",NA,"1,041,795","24,122","1,065,917","123,522",NA,NA,NA
1993,Q1 Sep-Nov,"123,522","290,598","16,554","430,674","318,906","13,698","332,604","98,070",0,NA,NA
1993,Q2 Dec-Feb,"98,070","313,236","38,671","449,977","341,670","35,647","377,317","72,660",0,NA,NA
1993,Q3 Mar-May,"72,660","302,610","56,492","431,762","312,144","55,442","367,586","64,176",0,NA,NA
1993,Q4 Jun-Aug,"64,176","301,602","68,370","434,148","293,202","64,548","357,750","76,398",0,NA,NA
1993,MY Sep-Aug,"123,522","1,208,046","180,088","1,511,656","1,265,922","169,336","1,435,258","76,398",0,NA,NA
1994,Q1 Sep-Nov,"76,398","353,262","20,945","450,605","330,750","18,971","349,721","100,884",0,NA,NA
1994,Q2 Dec-Feb,"100,884","368,970","24,836","494,690","346,836","20,804","367,640","127,050",0,NA,NA
1994,Q3 Mar-May,"127,050","363,426","73,486","563,962","342,930","69,076","412,006","151,956",0,NA,NA
1994,Q4 Jun-Aug,"151,956","318,612","64,208","534,776","295,092","58,076","353,168","181,608",0,NA,NA
1994,MY Sep-Aug,"76,398","1,404,270","183,474","1,664,142","1,315,608","166,926","1,482,534","181,608",0,NA,NA
1995,Q1 Sep-Nov,"181,608","315,630","47,139","544,377","403,620","44,913","448,533","95,844",0,NA,NA
1995,Q2 Dec-Feb,"95,844","317,352","27,602","440,798","354,690","23,486","378,176","62,622",0,NA,NA
1995,Q3 Mar-May,"62,622","242,466","37,333","342,421","261,954","32,839","294,793","47,628",0,NA,NA
1995,Q4 Jun-Aug,"47,628","160,524","8,370","216,522","166,908","5,934","172,842","43,680",0,NA,NA
1995,MY Sep-Aug,"181,608","1,035,972","120,445","1,338,025","1,187,172","107,173","1,294,345","43,680",0,NA,NA
1996,Q1 Sep-Nov,"43,680","268,044","15,910","327,634","239,988","13,978","253,966","73,668",0,NA,NA
1996,Q2 Dec-Feb,"73,668","299,712","18,403","391,783","282,324","16,429","298,753","93,030",0,NA,NA
1996,Q3 Mar-May,"93,030","333,018","30,597","456,645","303,534","28,623","332,157","124,488",0,NA,NA
1996,Q4 Jun-Aug,"124,488","294,588","24,808","443,884","284,844","23,926","308,770","135,114",0,NA,NA
1996,MY Sep-Aug,"43,680","1,195,362","89,717","1,328,759","1,110,690","82,955","1,193,645","135,114",0,NA,NA
1997,Q1 Sep-Nov,"135,114","332,724","12,640","480,478","339,192","11,926","351,118","129,360",0,NA,NA
1997,Q2 Dec-Feb,"129,360","364,140","14,863","508,363","372,876","14,863","387,739","120,624",0,NA,NA
1997,Q3 Mar-May,"120,624","329,784","10,947","461,355","317,436","9,309","326,745","134,610",0,NA,NA
1997,Q4 Jun-Aug,"134,610","332,682","13,418","480,710","318,024","12,914","330,938","149,772",0,NA,NA
1997,MY Sep-Aug,"135,114","1,359,330","51,868","1,546,312","1,347,528","49,012","1,396,540","149,772",0,NA,NA
1998,Q1 Sep-Nov,"149,772","365,778","5,329","520,879","366,156","4,951","371,107","149,772",0,NA,NA
1998,Q2 Dec-Feb,"149,772","384,384","6,711","540,867","383,166","5,997","389,163","151,704",0,NA,NA
1998,Q3 Mar-May,"151,704","376,908","7,760","536,372","322,140","6,836","328,976","207,396",0,NA,NA
1998,Q4 Jun-Aug,"207,396","317,730","13,548","538,674","327,054","12,540","339,594","199,080",0,NA,NA
1998,MY Sep-Aug,"149,772","1,444,800","33,348","1,627,920","1,398,516","30,324","1,428,840","199,080",0,NA,NA
1999,Q1 Sep-Nov,"199,080","384,216","10,810","594,106","398,496","9,844","408,340","185,766",0,NA,NA
1999,Q2 Dec-Feb,"185,766","407,484","10,608","603,858","417,396","9,726","427,122","176,736",0,NA,NA
1999,Q3 Mar-May,"176,736","413,742","7,722","598,200","404,082","6,546","410,628","187,572",0,NA,NA
1999,Q4 Jun-Aug,"187,572","384,426","16,523","588,521","380,898","15,179","396,077","192,444",0,NA,NA
1999,MY Sep-Aug,"199,080","1,589,868","45,663","1,834,611","1,600,872","41,295","1,642,167","192,444",0,NA,NA
2000,Q1 Sep-Nov,"192,444","412,818","22,559","627,821","448,686","21,215","469,901","157,920",0,NA,NA
2000,Q2 Dec-Feb,"157,920","436,296","30,361","624,577","482,538","25,657","508,195","116,382",0,NA,NA
2000,Q3 Mar-May,"116,382","422,730","24,577","563,689","409,206","21,259","430,465","133,224",0,NA,NA
2000,Q4 Jun-Aug,"133,224","432,474","18,429","584,127","391,524","15,111","406,635","177,492",0,NA,NA
2000,MY Sep-Aug,"192,444","1,704,318","95,926","1,992,688","1,731,954","83,242","1,815,196","177,492",0,NA,NA
2001,Q1 Sep-Nov,"177,492","462,294","16,395","656,181","471,828","14,757","486,585","169,596",0,NA,NA
2001,Q2 Dec-Feb,"169,596","481,068","13,760","664,424","455,154","9,476","464,630","199,794",0,NA,NA
2001,Q3 Mar-May,"199,794","494,046","14,886","708,726","443,898","13,080","456,978","251,748",0,NA,NA
2001,Q4 Jun-Aug,"251,748","498,876","12,149","762,773","491,232","10,637","501,869","260,904",0,NA,NA
2001,MY Sep-Aug,"177,492","1,936,284","57,190","2,170,966","1,862,112","47,950","1,910,062","260,904",0,NA,NA
2002,Q1 Sep-Nov,"260,904","598,332","17,927","877,163","612,318","12,467","624,785","252,378",0,NA,NA
2002,Q2 Dec-Feb,"252,378","658,644","16,558","927,580","664,482","13,492","677,974","249,606",0,NA,NA
2002,Q3 Mar-May,"249,606","682,080","17,708","949,394","661,500","14,600","676,100","273,294",0,NA,NA
2002,Q4 Jun-Aug,"273,294","695,436","16,951","985,681","686,742","15,691","702,433","283,248",0,NA,NA
2002,MY Sep-Aug,"260,904","2,634,492","69,145","2,964,541","2,625,042","56,251","2,681,293","283,248",0,NA,NA
2003,Q1 Sep-Nov,"283,248","727,440","24,899","1,035,587","743,946","19,817","763,763","271,824",0,NA,NA
2003,Q2 Dec-Feb,"271,824","803,418","25,287","1,100,529","856,926","13,905","870,831","229,698",0,NA,NA
2003,Q3 Mar-May,"229,698","841,260","48,668","1,119,626","864,024","12,170","876,194","243,432",0,NA,NA
2003,Q4 Jun-Aug,"243,432","855,708","70,902","1,170,042","891,198","11,430","902,628","267,414",0,NA,NA
2003,MY Sep-Aug,"283,248","3,227,826","169,757","3,680,831","3,356,094","57,323","3,413,417","267,414",0,NA,NA
2004,Q1 Sep-Nov,"267,414","870,198","49,323","1,186,935","906,444","11,103","917,547","269,388",0,NA,NA
2004,Q2 Dec-Feb,"269,388","904,554","30,026","1,203,968","931,392","9,614","941,006","262,962",0,NA,NA
2004,Q3 Mar-May,"262,962","924,924","36,651","1,224,537","922,782","15,735","938,517","286,020",0,NA,NA
2004,Q4 Jun-Aug,"286,020","987,840","32,546","1,306,406","1,059,198","20,492","1,079,690","226,716",0,NA,NA
2004,MY Sep-Aug,"267,414","3,687,516","148,547","4,103,477","3,819,816","56,945","3,876,761","226,716",0,NA,NA
2005,Q1 Sep-Nov,"226,716","1,026,270","76,586","1,329,572","1,073,646","15,560","1,089,206","240,366",0,NA,NA
2005,Q2 Dec-Feb,"240,366","1,095,108","69,240","1,404,714","1,086,204","13,254","1,099,458","305,256",0,NA,NA
2005,Q3 Mar-May,"305,256","1,137,444","118,570","1,561,270","1,220,688","14,368","1,235,056","326,214",0,NA,NA
2005,Q4 Jun-Aug,"326,214","1,241,394","312,443","1,880,051","1,490,160","6,305","1,496,465","383,586",0,NA,NA
2005,MY Sep-Aug,"226,716","4,500,216","576,839","5,303,771","4,870,698","49,487","4,920,185","383,586",0,NA,NA
2006,Q1 Sep-Nov,"383,586","1,303,764","244,767","1,932,117","1,538,502","5,871","1,544,373","387,744",0,NA,NA
2006,Q2 Dec-Feb,"387,744","1,412,502","150,620","1,950,866","1,570,506","12,230","1,582,736","368,130",0,NA,NA
2006,Q3 Mar-May,"368,130","1,519,602","124,746","2,012,478","1,600,032","35,874","1,635,906","376,572",0,NA,NA
