Calendar year,Beginning stocks,Production 1/,Imports 2/,Total supply,Consumption,Exports 2/,Total use,Ending stocks,Discrepancy 3/,Corn used for fuel ethanol,Sorghum used for fuel ethanol
1981,NA,"83,074",NA,NA,"83,074",NA,NA,NA,NA,NA,NA
1982,NA,"225,487",NA,NA,"225,487",NA,NA,NA,NA,NA,NA
1983,NA,"415,372",NA,NA,"415,372",NA,NA,NA,NA,NA,NA
1984,NA,"510,314",NA,NA,"510,314",NA,NA,NA,NA,NA,NA
1985,NA,"617,123",NA,NA,"617,123",NA,NA,NA,NA,NA,NA
1986,NA,"712,066",NA,NA,"712,066",NA,NA,NA,NA,NA,NA
1987,NA,"818,875",NA,NA,"818,875",NA,NA,NA,NA,NA,NA
1988,NA,"830,743",NA,NA,"830,743",NA,NA,NA,NA,NA,NA
1989,NA,"842,611",NA,NA,"842,611","29,274","871,885",NA,NA,NA,NA
1990,NA,"747,669",NA,NA,"747,669","145,107","892,775",NA,NA,NA,NA
1991,NA,"866,346",NA,NA,"866,346","60,535","926,882",NA,NA,NA,NA
1992,NA,"985,024",NA,NA,"985,024","19,353","1,004,377","75,222",NA,NA,NA
1993,"75,222","1,154,328","54,397","1,283,947","1,151,010","44,149","1,195,159","88,788",0,NA,NA
1994,"88,788","1,288,938","172,859","1,550,585","1,288,938","161,141","1,450,079","100,506",0,NA,NA
1995,"100,506","1,357,650","213,715","1,671,871","1,382,598","197,461","1,580,059","91,812",0,NA,NA
1996,"91,812","973,476","86,486","1,151,774","991,704","73,340","1,065,044","86,730",0,NA,NA
1997,"86,730","1,288,308","86,852","1,461,890","1,255,758","83,282","1,339,040","122,850",0,NA,NA
1998,"122,850","1,405,026","42,563","1,570,439","1,387,596","39,791","1,427,387","143,052",0,NA,NA
1999,"143,052","1,465,002","39,541","1,647,595","1,442,700","35,887","1,478,587","169,008",0,NA,NA
2000,"169,008","1,622,334","59,437","1,850,779","1,653,414","54,565","1,707,979","142,800",0,NA,NA
2001,"142,800","1,765,176","87,813","1,995,789","1,740,690","74,583","1,815,273","180,516",0,NA,NA
2002,"180,516","2,140,152","59,636","2,380,304","2,073,120","46,784","2,119,904","260,400",0,NA,NA
2003,"260,400","2,804,424","75,650","3,140,474","2,826,012","63,386","2,889,398","251,076",0,NA,NA
2004,"251,076","3,404,436","196,061","3,851,573","3,552,192","47,297","3,599,489","252,084",0,NA,NA
2005,"252,084","3,904,362","198,538","4,354,984","4,058,628","62,710","4,121,338","233,646",0,NA,NA
2006,"233,646","4,884,348","768,008","5,886,002","5,481,210","36,872","5,518,082","367,920",0,NA,NA
2007,"367,920","6,521,046","589,428","7,478,394","6,885,690","150,234","7,035,924","442,470",0,NA,NA
2008,"442,470","9,308,754","687,379","10,438,603","9,683,352","157,759","9,841,111","597,492",0,NA,NA
2009,"597,492","10,937,808","311,538","11,846,838","11,036,592","113,298","11,149,890","696,948",0,NA,NA
2010,"696,948","13,297,914","15,737","14,010,599","12,858,497","398,580","13,257,077","753,522",0,NA,NA
2011,"753,522","13,929,132","171,860","14,854,514","12,893,313","1,195,204","14,088,518","765,996",0,NA,NA
2012,"765,996","13,217,988","494,147","14,478,131","12,881,879","741,552","13,623,431","854,700",0,NA,NA
2013,"854,700","13,292,706","377,017","14,524,423","13,215,619","618,996","13,834,615","689,808",0,NA,NA
2014,"689,808","14,312,802","74,620","15,077,230","13,443,976","846,216","14,290,192","787,038",0,"1,317,242","8,677"
2015,"787,038","14,807,226","91,474","15,685,738","13,946,686","832,020","14,778,706","907,032",0,"5,219,402","31,996"
2016,"907,032","15,413,202","36,333","16,356,567","14,356,328","1,170,404","15,526,731","829,836",0,"5,289,181","130,934"
2017,"829,836","15,936,270","76,638","16,842,744","14,485,062","1,389,876","15,874,938","967,806",0,"5,493,881","100,034"
2018,"967,806","16,091,334","54,397","17,113,537","14,420,355","1,709,626","16,129,981","983,556",0,"5,553,172","69,357"
2019,"983,556","15,778,476","195,078","16,957,110","14,551,669","1,466,657","16,018,326","938,784",0,"5,331,353","106,670"
2020,"938,784","13,940,980","154,054","15,033,819","12,680,842","1,317,123","13,997,965","1,035,854",0,"4,775,966","40,070"
2021,"1,035,854","15,015,729","60,751","16,112,334","13,944,404","1,242,418","15,186,822","925,512",0,"5,147,781","3,663"
2022,"925,512","15,360,696","69,118","16,355,326","14,023,441","1,313,600","15,337,041","1,018,285",0,"5,207,675",NA
2023,"1,018,285","7,620,093",50,"8,638,428","7,002,523","706,970","7,709,493",NA,NA,"2,570,992",NA
