Year,Month,Beginning stocks,Production 1/,Imports 2/,Total supply,Consumption,Exports 2/,Total use,Ending stocks,Discrepancy 3/,Corn used for fuel ethanol,Sorghum used for fuel ethanol
1981,Jan,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1981,Feb,NA,"6,373",NA,NA,"6,373",NA,NA,NA,NA,NA,NA
1981,Mar,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1981,Apr,NA,"6,828",NA,NA,"6,828",NA,NA,NA,NA,NA,NA
1981,May,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1981,Jun,NA,"6,828",NA,NA,"6,828",NA,NA,NA,NA,NA,NA
1981,Jul,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1981,Aug,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1981,Sep,NA,"6,828",NA,NA,"6,828",NA,NA,NA,NA,NA,NA
1981,Oct,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1981,Nov,NA,"6,828",NA,NA,"6,828",NA,NA,NA,NA,NA,NA
1981,Dec,NA,"7,056",NA,NA,"7,056",NA,NA,NA,NA,NA,NA
1982,Jan,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1982,Feb,NA,"17,298",NA,NA,"17,298",NA,NA,NA,NA,NA,NA
1982,Mar,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1982,Apr,NA,"18,533",NA,NA,"18,533",NA,NA,NA,NA,NA,NA
1982,May,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1982,Jun,NA,"18,533",NA,NA,"18,533",NA,NA,NA,NA,NA,NA
1982,Jul,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1982,Aug,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1982,Sep,NA,"18,533",NA,NA,"18,533",NA,NA,NA,NA,NA,NA
1982,Oct,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1982,Nov,NA,"18,533",NA,NA,"18,533",NA,NA,NA,NA,NA,NA
1982,Dec,NA,"19,151",NA,NA,"19,151",NA,NA,NA,NA,NA,NA
1983,Jan,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1983,Feb,NA,"31,864",NA,NA,"31,864",NA,NA,NA,NA,NA,NA
1983,Mar,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1983,Apr,NA,"34,140",NA,NA,"34,140",NA,NA,NA,NA,NA,NA
1983,May,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1983,Jun,NA,"34,140",NA,NA,"34,140",NA,NA,NA,NA,NA,NA
1983,Jul,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1983,Aug,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1983,Sep,NA,"34,140",NA,NA,"34,140",NA,NA,NA,NA,NA,NA
1983,Oct,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1983,Nov,NA,"34,140",NA,NA,"34,140",NA,NA,NA,NA,NA,NA
1983,Dec,NA,"35,278",NA,NA,"35,278",NA,NA,NA,NA,NA,NA
1984,Jan,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1984,Feb,NA,"40,435",NA,NA,"40,435",NA,NA,NA,NA,NA,NA
1984,Mar,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1984,Apr,NA,"41,829",NA,NA,"41,829",NA,NA,NA,NA,NA,NA
1984,May,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1984,Jun,NA,"41,829",NA,NA,"41,829",NA,NA,NA,NA,NA,NA
1984,Jul,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1984,Aug,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1984,Sep,NA,"41,829",NA,NA,"41,829",NA,NA,NA,NA,NA,NA
1984,Oct,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1984,Nov,NA,"41,829",NA,NA,"41,829",NA,NA,NA,NA,NA,NA
1984,Dec,NA,"43,223",NA,NA,"43,223",NA,NA,NA,NA,NA,NA
1985,Jan,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1985,Feb,NA,"47,341",NA,NA,"47,341",NA,NA,NA,NA,NA,NA
1985,Mar,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1985,Apr,NA,"50,722",NA,NA,"50,722",NA,NA,NA,NA,NA,NA
1985,May,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1985,Jun,NA,"50,722",NA,NA,"50,722",NA,NA,NA,NA,NA,NA
1985,Jul,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1985,Aug,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1985,Sep,NA,"50,722",NA,NA,"50,722",NA,NA,NA,NA,NA,NA
1985,Oct,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1985,Nov,NA,"50,722",NA,NA,"50,722",NA,NA,NA,NA,NA,NA
1985,Dec,NA,"52,413",NA,NA,"52,413",NA,NA,NA,NA,NA,NA
1986,Jan,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1986,Feb,NA,"54,624",NA,NA,"54,624",NA,NA,NA,NA,NA,NA
1986,Mar,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1986,Apr,NA,"58,526",NA,NA,"58,526",NA,NA,NA,NA,NA,NA
1986,May,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1986,Jun,NA,"58,526",NA,NA,"58,526",NA,NA,NA,NA,NA,NA
1986,Jul,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1986,Aug,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1986,Sep,NA,"58,526",NA,NA,"58,526",NA,NA,NA,NA,NA,NA
1986,Oct,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1986,Nov,NA,"58,526",NA,NA,"58,526",NA,NA,NA,NA,NA,NA
1986,Dec,NA,"60,477",NA,NA,"60,477",NA,NA,NA,NA,NA,NA
1987,Jan,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1987,Feb,NA,"62,818",NA,NA,"62,818",NA,NA,NA,NA,NA,NA
1987,Mar,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1987,Apr,NA,"67,305",NA,NA,"67,305",NA,NA,NA,NA,NA,NA
1987,May,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1987,Jun,NA,"67,305",NA,NA,"67,305",NA,NA,NA,NA,NA,NA
1987,Jul,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1987,Aug,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1987,Sep,NA,"67,305",NA,NA,"67,305",NA,NA,NA,NA,NA,NA
1987,Oct,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1987,Nov,NA,"67,305",NA,NA,"67,305",NA,NA,NA,NA,NA,NA
1987,Dec,NA,"69,548",NA,NA,"69,548",NA,NA,NA,NA,NA,NA
1988,Jan,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1988,Feb,NA,"65,824",NA,NA,"65,824",NA,NA,NA,NA,NA,NA
1988,Mar,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1988,Apr,NA,"68,094",NA,NA,"68,094",NA,NA,NA,NA,NA,NA
1988,May,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1988,Jun,NA,"68,094",NA,NA,"68,094",NA,NA,NA,NA,NA,NA
1988,Jul,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1988,Aug,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1988,Sep,NA,"68,094",NA,NA,"68,094",NA,NA,NA,NA,NA,NA
1988,Oct,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1988,Nov,NA,"68,094",NA,NA,"68,094",NA,NA,NA,NA,NA,NA
1988,Dec,NA,"70,363",NA,NA,"70,363",NA,NA,NA,NA,NA,NA
1989,Jan,NA,"71,564",NA,NA,"71,564","2,492","74,056",NA,NA,NA,NA
1989,Feb,NA,"64,639",NA,NA,"64,639","4,863","69,502",NA,NA,NA,NA
1989,Mar,NA,"71,564",NA,NA,"71,564","1,778","73,342",NA,NA,NA,NA
1989,Apr,NA,"69,256",NA,NA,"69,256",565,"69,821",NA,NA,NA,NA
1989,May,NA,"71,564",NA,NA,"71,564","2,060","73,624",NA,NA,NA,NA
1989,Jun,NA,"69,256",NA,NA,"69,256",526,"69,781",NA,NA,NA,NA
1989,Jul,NA,"71,564",NA,NA,"71,564","1,850","73,414",NA,NA,NA,NA
1989,Aug,NA,"71,564",NA,NA,"71,564",359,"71,923",NA,NA,NA,NA
1989,Sep,NA,"69,256",NA,NA,"69,256",458,"69,714",NA,NA,NA,NA
1989,Oct,NA,"71,564",NA,NA,"71,564","5,310","76,874",NA,NA,NA,NA
1989,Nov,NA,"69,256",NA,NA,"69,256","1,907","71,162",NA,NA,NA,NA
1989,Dec,NA,"71,564",NA,NA,"71,564","7,106","78,670",NA,NA,NA,NA
1990,Jan,NA,"63,501",NA,NA,"63,501","20,701","84,202",NA,NA,NA,NA
1990,Feb,NA,"57,355",NA,NA,"57,355","25,255","82,611",NA,NA,NA,NA
1990,Mar,NA,"63,501",NA,NA,"63,501","28,728","92,229",NA,NA,NA,NA
1990,Apr,NA,"61,452",NA,NA,"61,452","15,571","77,023",NA,NA,NA,NA
1990,May,NA,"63,501",NA,NA,"63,501","14,717","78,218",NA,NA,NA,NA
1990,Jun,NA,"61,452",NA,NA,"61,452","12,142","73,594",NA,NA,NA,NA
1990,Jul,NA,"63,501",NA,NA,"63,501","1,167","64,668",NA,NA,NA,NA
1990,Aug,NA,"63,501",NA,NA,"63,501","11,910","75,410",NA,NA,NA,NA
1990,Sep,NA,"61,452",NA,NA,"61,452","10,605","72,057",NA,NA,NA,NA
1990,Oct,NA,"63,501",NA,NA,"63,501","3,350","66,851",NA,NA,NA,NA
1990,Nov,NA,"61,452",NA,NA,"61,452",434,"61,886",NA,NA,NA,NA
1990,Dec,NA,"63,501",NA,NA,"63,501",528,"64,028",NA,NA,NA,NA
1991,Jan,NA,"73,580",NA,NA,"73,580","3,116","76,696",NA,NA,NA,NA
1991,Feb,NA,"66,459",NA,NA,"66,459","18,602","85,062",NA,NA,NA,NA
1991,Mar,NA,"73,580",NA,NA,"73,580","14,205","87,785",NA,NA,NA,NA
1991,Apr,NA,"71,207",NA,NA,"71,207","9,192","80,399",NA,NA,NA,NA
1991,May,NA,"73,580",NA,NA,"73,580","1,248","74,829",NA,NA,NA,NA
1991,Jun,NA,"71,207",NA,NA,"71,207","5,727","76,934",NA,NA,NA,NA
1991,Jul,NA,"73,580",NA,NA,"73,580",437,"74,017",NA,NA,NA,NA
1991,Aug,NA,"73,580",NA,NA,"73,580","1,641","75,222",NA,NA,NA,NA
1991,Sep,NA,"71,207",NA,NA,"71,207","4,140","75,347",NA,NA,NA,NA
1991,Oct,NA,"73,580",NA,NA,"73,580",553,"74,133",NA,NA,NA,NA
1991,Nov,NA,"71,207",NA,NA,"71,207",432,"71,639",NA,NA,NA,NA
1991,Dec,NA,"73,580",NA,NA,"73,580","1,240","74,820",NA,NA,NA,NA
1992,Jan,NA,"83,431",NA,NA,"83,431",184,"83,615",NA,NA,NA,NA
1992,Feb,NA,"78,048",NA,NA,"78,048",567,"78,615",NA,NA,NA,NA
