Marketing year 1/,Marketing year quarter,Total supply,Fuel alcohol use,"Food, seed, and industrial use (excluding fuel alcohol)",Feed use,Exports,Total,Fuel alcohol share of total use
1986,Q1 Sep-Nov,12266,68,227,1348,318,1960,3.5
1986,Q2 Dec-Feb,10306,72,210,1463,313,2057,3.5
1986,Q3 Mar-May,8249,77,255,1088,496,1916,4
1986,Q4 Jun-Aug,6333,73,252,761,365,1451,5
1986,MY Sep-Aug,12267,290,943,4659,1492,7385,3.9
1987,Q1 Sep-Nov,12014,67,229,1551,396,2243,3
1987,Q2 Dec-Feb,9772,69,218,1444,405,2136,3.2
1987,Q3 Mar-May,7637,73,264,951,510,1798,4.1
1987,Q4 Jun-Aug,5840,70,261,843,406,1581,4.4
1987,MY Sep-Aug,12016,279,973,4789,1716,7757,3.6
1988,Q1 Sep-Nov,9188,71,231,1344,471,2117,3.3
1988,Q2 Dec-Feb,7072,76,225,1064,503,1868,4.1
1988,Q3 Mar-May,5205,73,280,841,592,1786,4.1
1988,Q4 Jun-Aug,3420,68,274,685,463,1489,4.5
1988,MY Sep-Aug,9191,287,1010,3934,2028,7260,4
1989,Q1 Sep-Nov,9463,64,248,1487,582,2381,2.7
1989,Q2 Dec-Feb,7083,80,232,1276,682,2270,3.5
1989,Q3 Mar-May,4813,89,287,993,601,1970,4.5
1989,Q4 Jun-Aug,2843,88,281,627,503,1499,5.9
1989,MY Sep-Aug,9464,321,1049,4382,2367,8120,4
1990,Q1 Sep-Nov,9279,76,261,1619,383,2339,3.3
1990,Q2 Dec-Feb,6941,87,243,1351,471,2152,4
1990,Q3 Mar-May,4790,91,293,960,454,1798,5.1
1990,Q4 Jun-Aug,2993,95,279,679,419,1472,6.5
1990,MY Sep-Aug,9282,349,1076,4609,1727,7761,4.5
1991,Q1 Sep-Nov,9002,98,263,1674,421,2455,4
1991,Q2 Dec-Feb,6552,100,262,1267,362,1991,5
1991,Q3 Mar-May,4566,101,314,1042,371,1828,5.5
1991,Q4 Jun-Aug,2742,99,297,816,430,1642,6.1
1991,MY Sep-Aug,9016,398,1135,4798,1584,7915,5
1992,Q1 Sep-Nov,10578,103,267,1814,488,2672,3.9
1992,Q2 Dec-Feb,7907,106,259,1401,463,2229,4.8
1992,Q3 Mar-May,5680,112,302,1146,411,1971,5.7
1992,Q4 Jun-Aug,3712,104,303,891,301,1599,6.5
1992,MY Sep-Aug,10584,426,1130,5252,1663,8471,5
1993,Q1 Sep-Nov,8456,110,272,1701,435,2519,4.4
