Marketing year 1/,Domestic production 2/,Imports 3/,Total supply,Exports 3/,Domestic use,Total use
1992,1.5,0.1,1.6,0.1,1.4,1.6
1993,1.5,0.1,1.6,0.2,1.4,1.6
1994,1.8,0.1,1.9,0.7,1.1,1.9
1995,0.9,0.1,1.0,0.6,0.3,1.0
1996,1.4,0.1,1.5,0.7,0.8,1.5
1997,1.9,0.1,2.0,0.6,1.4,2.0
1998,2.1,0.1,2.2,0.7,1.5,2.2
1999,2.7,0.1,2.9,0.8,2.1,2.9
2000,2.8,0.1,2.9,0.8,2.1,2.9
2001,2.9,0.1,3.0,0.9,2.2,3.0
2002,5.1,0.1,5.2,0.8,4.5,5.2
2003,6.6,0.1,6.8,0.7,6.0,6.8
2004,7.9,0.1,8.0,1.0,7.0,8.0
2005,10.1,0.1,10.2,1.2,9.0,10.2
2006,13.6,0.2,13.8,1.8,12.0,13.8
2007,20.9,0.1,21.0,3.9,17.1,21.0
2008,26.1,0.3,26.4,5.0,21.4,26.4
2009,33.1,0.4,33.5,8.3,25.2,33.5
2010,36.4,0.4,36.8,8.3,28.5,36.8
2011,35.9,0.4,36.2,7.6,28.6,36.2
2012,32.8,0.4,33.2,8.2,25.0,33.2
2013,36.2,0.5,36.7,12.0,24.7,36.7
2014,35.0,0.4,35.4,11.6,23.8,35.4
2015,35.8,0.3,36.1,11.6,24.5,36.1
2016,37.0,0.3,37.3,11.1,26.2,37.3
2017,37.9,0.3,38.3,11.6,26.6,38.3
2018,36.9,0.3,37.2,11.3,26.0,37.2
2019,32.8,0.3,33.1,10.5,22.6,33.1
2020,33.7,0.2,33.9,11.6,22.4,33.9
2021,36.1,0.2,36.2,11.6,24.7,36.2
2022,34.9,0.2,35.1,10.4,24.7,35.1
