Marketing year 1/,Domestic production 2/,Imports,Total supply,Exports,Domestic use,Total use
1992,1.4,0.0,1.4,0.9,0.6,1.4
1993,1.5,0.0,1.5,0.7,0.7,1.5
1994,1.6,0.0,1.6,0.9,0.6,1.6
1995,1.6,0.0,1.6,0.8,0.8,1.6
1996,1.6,0.0,1.6,0.8,0.8,1.6
1997,1.6,0.0,1.7,0.9,0.8,1.7
1998,1.7,0.0,1.7,1.0,0.6,1.7
1999,1.6,0.0,1.7,1.0,0.7,1.7
2000,1.7,0.0,1.7,0.9,0.8,1.7
2001,1.8,0.0,1.8,1.0,0.8,1.8
2002,1.8,0.0,1.8,1.0,0.8,1.8
2003,1.8,0.0,1.8,0.9,0.9,1.8
2004,1.8,0.0,1.8,0.9,0.9,1.8
2005,1.8,0.0,1.8,0.9,0.9,1.8
2006,1.9,0.0,1.9,0.9,1.0,1.9
2007,1.9,0.0,1.9,0.8,1.1,1.9
2008,1.8,0.0,1.8,1.1,0.7,1.8
2009,1.9,0.0,1.9,1.2,0.7,1.9
2010,1.9,0.0,1.9,1.2,0.7,1.9
2011,1.9,0.0,1.9,1.0,0.9,1.9
2012,1.9,0.0,1.9,0.9,1.0,1.9
2013,1.9,0.0,1.9,1.0,1.0,1.9
2014,2.2,0.0,2.2,0.9,1.4,2.2
2015,2.2,0.0,2.2,0.7,1.5,2.2
2016,2.2,0.0,2.3,0.8,1.5,2.3
2017,2.3,0.0,2.3,0.8,1.5,2.3
2018,2.2,0.0,2.2,0.8,1.4,2.2
2019,2.2,0.0,2.2,0.8,1.4,2.2
2020,2.4,0.0,2.4,0.8,1.6,2.4
2021,2.4,0.0,2.4,0.7,1.7,2.4
2022,2.4,0.0,2.4,0.7,1.7,2.4
