Marketing year 1/,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Avg 2/
1981,150.0,151.3,153.8,148.0,146.3,147.6,139.4,136.5,142.0,147.0,153.0,145.3,146.7
1982,137.6,136.3,137.0,137.0,138.8,136.8,140.2,144.5,147.0,150.2,150.6,155.6,142.6
1983,168.0,175.0,183.0,190.0,190.0,185.0,174.0,166.0,168.0,166.0,157.0,148.0,172.5
1984,139.0,120.0,97.0,93.0,94.0,96.0,94.0,87.0,83.0,85.0,89.0,95.0,97.7
1985,96.0,100.0,105.0,111.0,115.0,114.0,110.0,112.0,112.0,110.0,102.0,NA,107.9
1986,131.5,129.0,128.6,124.8,113.3,110.1,105.1,100.8,111.0,116.0,118.0,NA,117.1
1987,118.0,118.0,123.0,128.0,139.0,140.0,136.0,129.0,127.0,132.0,178.0,173.0,136.8
1988,142.0,144.0,147.6,138.0,138.0,138.0,140.0,145.5,144.0,140.0,134.0,NA,141.0
1989,141.8,140.0,131.0,121.0,122.0,120.3,115.3,117.3,119.6,120.8,119.0,NA,124.4
1990,122.3,124.2,129.5,133.5,134.8,136.3,138.0,134.0,128.0,123.0,90.7,NA,126.7
1991,118.0,118.0,122.0,126.6,128.0,127.6,124.1,121.0,117.3,117.2,126.0,NA,122.3
1992,130.0,110.3,134.0,135.0,135.0,135.0,131.0,123.0,106.0,106.0,106.0,NA,122.8
1993,120.0,121.3,127.0,130.0,130.0,130.0,127.0,122.0,118.4,116.0,120.0,NA,123.8
1994,120.0,121.3,124.0,120.8,105.6,97.0,93.8,93.5,98.0,98.9,101.0,NA,106.7
1995,112.0,121.7,142.6,146.5,144.8,144.0,145.0,156.6,186.5,190.0,175.4,NA,151.4
1996,164.0,160.8,145.0,143.1,144.0,149.0,148.5,136.8,128.5,126.9,125.0,NA,142.9
1997,130.0,128.8,133.0,125.8,124.1,118.4,107.8,87.0,85.5,81.0,86.0,86.0,107.8
1998,NA,75.0,74.0,78.0,87.0,97.0,92.0,83.0,84.0,87.0,91.7,NA,84.9
1999,88.0,88.0,88.0,88.0,85.0,82.5,73.8,70.0,73.6,76.0,81.0,NA,81.3
2000,73.5,74.4,78.3,86.4,101.8,104.4,100.0,92.5,89.8,79.8,81.6,89.6,87.7
2001,90.6,92.3,88.5,87.0,80.9,79.5,74.8,72.9,72.9,74.6,77.3,88.1,81.6
2002,95.8,100.7,98.6,95.1,91.0,89.5,93.9,91.6,72.0,83.9,82.1,82.3,89.7
2003,91.7,103.8,123.8,130.1,121.1,120.4,121.1,118.7,110.1,93.5,87.3,87.4,109.1
2004,84.5,79.1,73.5,72.5,71.0,68.3,66.7,64.9,64.4,64.1,67.5,69.9,70.5
2005,66.9,63.4,64.6,73.1,83.7,86.3,85.9,90.6,92.0,85.8,80.0,77.0,79.1
2006,74.6,84.5,106.4,123.6,127.5,132.5,131.3,117.6,107.0,108.0,111.2,112.5,111.4
2007,114.5,121.4,138.4,147.3,170.0,166.0,168.6,177.5,175.9,174.3,174.1,153.1,156.8
2008,139.9,126.6,125.1,108.3,119.6,133.1,126.7,130.5,142.5,148.6,107.9,99.4,125.7
2009,96.7,122.0,126.4,127.3,123.8,114.6,107.6,106.0,117.9,108.3,108.8,111.8,114.3
2010,132.9,155.4,166.7,172.3,180.6,199.9,203.7,214.5,204.8,214.3,208.5,207.0,188.4
2011,207.1,207.5,216.1,192.3,194.2,203.0,213.9,213.9,223.4,220.6,272.9,301.6,222.2
2012,293.4,278.0,259.0,261.7,264.9,271.1,270.9,242.4,229.0,235.9,240.2,232.1,256.5
2013,230.1,216.5,217.1,220.5,200.0,214.4,245.0,243.5,222.8,184.5,148.0,116.9,204.9
2014,123.0,96.0,113.1,159.3,186.5,187.1,189.5,191.0,178.5,157.5,153.5,115.1,154.2
2015,139.3,123.1,132.6,133.1,132.5,136.6,134.5,122.4,141.1,170.5,149.4,130.9,137.2
2016,127.8,116.3,111.7,104.8,96.3,98.9,98.3,99.3,100.5,105.3,110.6,110.0,106.6
2017,111.6,117.3,123.1,143.8,155.5,158.9,164.1,174.4,174.9,158.5,139.3,144.0,147.1
2018,142.5,137.5,137.5,147.0,154.8,158.1,157.4,149.7,137.9,145.8,147.2,137.0,146.0
2019,141.0,140.6,137.5,160.3,160.8,162.3,174.0,202.5,159.9,149.0,155.0,142.4,157.1
2020,158.9,169.6,193.3,205.3,220.0,244.4,227.7,212.5,256.8,215.5,180.3,190.0,206.2
2021,195.0,184.4,193.9,198.7,196.3,233.5,279.8,293.5,268.5,248.9,230.5,227.2,229.2
2022,240.8,235.1,232.0,239.3,251.6,259.2,260.2,260.8,228.8,213.0,215.3,207.7,237.0
2023,205.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.1
