State,Number of biodiesel plants,Biodiesel capacity,Number of renewable diesel and other biofuels plants,Renewable diesel and other biofuels capacity,Total number of plants,Total capacity
Louisiana,0,0,3,"1,136",3,"1,136"
Texas,4,174,1,537,5,710
Iowa,11,483,0,0,11,483
California,4,80,4,259,8,339
North Dakota,1,85,1,192,2,277
Missouri,5,247,0,0,5,247
Washington,1,107,1,111,2,218
Wyoming,0,0,2,209,2,209
Illinois,4,192,0,0,4,192
Montana,0,0,1,184,1,184
Kansas,1,91,1,85,2,176
Oklahoma,1,40,1,121,2,161
New Mexico,0,0,1,141,1,141
Indiana,2,102,0,0,2,102
Minnesota,3,85,0,0,3,85
Arkansas,2,75,0,0,2,75
Pennsylvania,2,64,0,0,2,64
Kentucky,1,56,0,0,1,56
Mississippi,2,29,1,25,3,54
Tennessee,1,36,0,0,1,36
Connecticut,1,35,0,0,1,35
Wisconsin,1,28,0,0,1,28
Alabama,1,20,0,0,1,20
Michigan,2,16,0,0,2,16
Oregon,1,12,0,0,1,12
New Hampshire,1,8,0,0,1,8
Hawaii,1,6,0,0,1,6
South Carolina,1,5,0,0,1,5
Virginia,1,5,0,0,1,5
Georgia,1,2,0,0,1,2
North Carolina,1,2,0,0,1,2
Massachusetts,1,1,0,0,1,1
Maine,1,1,0,0,1,1
United States,59,"2,086",17,"3,000",76,"5,086"
