Year,Month,Corn,Ethanol 1/,Blender cost of ethanol with credit 2/,Gasoline,Corn cost per gallon of ethanol 3/,Cost of ethanol geg 4/
1982,Jan,2.54,1.75,1.15,1.04,0.94,2.61
1982,Feb,2.44,1.70,1.10,1.01,0.90,2.54
1982,Mar,2.46,1.66,1.06,0.95,0.91,2.48
1982,Apr,2.55,1.70,1.10,0.90,0.94,2.54
1982,May,2.60,1.70,1.10,0.94,0.96,2.54
1982,Jun,2.57,1.70,1.10,1.05,0.95,2.54
1982,Jul,2.50,1.70,1.10,1.06,0.93,2.54
1982,Aug,2.30,1.70,1.10,1.05,0.85,2.54
1982,Sep,2.15,1.70,1.10,1.03,0.80,2.54
1982,Oct,1.98,1.69,1.09,1.02,0.73,2.52
1982,Nov,2.13,1.72,1.12,0.99,0.79,2.57
1982,Dec,2.26,1.75,1.15,0.96,0.84,2.61
1983,Jan,2.36,1.69,1.09,0.92,0.87,2.52
1983,Feb,2.56,1.68,1.08,0.88,0.95,2.51
1983,Mar,2.71,1.64,1.04,0.86,1.00,2.45
1983,Apr,2.95,1.70,1.10,0.90,1.09,2.54
1983,May,3.03,1.70,1.10,0.94,1.12,2.54
1983,Jun,3.04,1.70,1.10,0.95,1.13,2.54
1983,Jul,3.13,1.70,1.10,0.95,1.16,2.54
1983,Aug,3.35,1.73,1.13,0.95,1.24,2.58
1983,Sep,3.32,1.80,1.20,0.93,1.23,2.69
1983,Oct,3.15,1.65,1.05,0.91,1.17,2.46
1983,Nov,3.17,1.65,1.05,0.89,1.17,2.46
1983,Dec,3.15,1.54,0.94,0.87,1.17,2.30
1984,Jan,3.15,1.54,0.94,0.84,1.17,2.30
1984,Feb,3.11,1.54,0.94,0.86,1.15,2.30
1984,Mar,3.21,1.54,0.94,0.87,1.19,2.30
1984,Apr,3.32,1.54,0.94,0.88,1.23,2.30
1984,May,3.34,1.54,0.94,0.88,1.24,2.30
1984,Jun,3.36,1.54,0.94,0.87,1.24,2.30
1984,Jul,3.30,1.54,0.94,0.84,1.22,2.30
1984,Aug,3.12,1.54,0.94,0.84,1.16,2.30
1984,Sep,2.90,1.58,0.98,0.84,1.07,2.36
1984,Oct,2.65,1.58,0.98,0.85,0.98,2.36
1984,Nov,2.55,1.56,0.96,0.84,0.94,2.33
1984,Dec,2.56,1.57,0.97,0.74,0.95,2.34
1985,Jan,2.64,1.57,0.97,0.74,0.98,2.34
1985,Feb,2.62,1.58,0.98,0.73,0.97,2.36
1985,Mar,2.67,1.57,0.97,0.80,0.99,2.34
1985,Apr,2.70,1.68,1.08,0.88,1.00,2.51
1985,May,2.68,1.62,1.02,0.92,0.99,2.42
1985,Jun,2.64,1.62,1.02,0.93,0.98,2.42
1985,Jul,2.60,1.61,1.01,0.93,0.96,2.40
1985,Aug,2.44,1.58,0.98,0.91,0.90,2.36
1985,Sep,2.29,1.59,0.99,0.82,0.85,2.37
1985,Oct,2.11,1.60,1.00,0.82,0.78,2.39
1985,Nov,2.21,1.60,1.00,0.86,0.82,2.39
1985,Dec,2.29,1.55,0.95,0.82,0.85,2.31
1986,Jan,2.33,1.52,0.92,0.74,0.86,2.27
1986,Feb,2.32,1.35,0.75,0.60,0.86,2.01
1986,Mar,2.29,1.27,0.67,0.46,0.85,1.90
1986,Apr,2.30,1.22,0.62,0.50,0.85,1.82
1986,May,2.39,1.14,0.54,0.58,0.89,1.70
1986,Jun,2.32,1.04,0.44,0.54,0.86,1.55
