Marketing year,Marketing year quarter 1/,Corn,Ethanol 2/,Blender cost of ethanol with credit 3/,Gasoline,Corn cost per gallon of ethanol 4/,Cost of ethanol geg 5/
1982,Q1 Sep-Nov,2.09,1.70,1.10,1.01,0.77,2.54
1982,Q2 Dec-Feb,2.39,1.71,1.11,0.92,0.89,2.55
1982,Q3 Mar-May,2.90,1.68,1.08,0.90,1.07,2.51
1982,Q4 Jun-Aug,3.17,1.71,1.11,0.95,1.18,2.55
1982,MY Sep-Aug,2.64,1.70,1.10,0.95,0.98,2.54
1983,Q1 Sep-Nov,3.21,1.70,1.10,0.91,1.19,2.54
1983,Q2 Dec-Feb,3.14,1.54,0.94,0.86,1.16,2.30
1983,Q3 Mar-May,3.29,1.54,0.94,0.88,1.22,2.30
1983,Q4 Jun-Aug,3.26,1.54,0.94,0.85,1.21,2.30
1983,MY Sep-Aug,3.23,1.58,0.98,0.87,1.19,2.36
1984,Q1 Sep-Nov,2.70,1.57,0.97,0.84,1.00,2.35
1984,Q2 Dec-Feb,2.61,1.57,0.97,0.74,0.97,2.35
1984,Q3 Mar-May,2.68,1.62,1.02,0.87,0.99,2.42
1984,Q4 Jun-Aug,2.56,1.60,1.00,0.92,0.95,2.39
1984,MY Sep-Aug,2.64,1.59,0.99,0.84,0.98,2.38
1985,Q1 Sep-Nov,2.20,1.60,1.00,0.83,0.82,2.38
1985,Q2 Dec-Feb,2.31,1.47,0.87,0.72,0.86,2.20
1985,Q3 Mar-May,2.33,1.21,0.61,0.51,0.86,1.81
1985,Q4 Jun-Aug,2.02,1.01,0.41,0.48,0.75,1.51
1985,MY Sep-Aug,2.22,1.32,0.72,0.64,0.82,1.98
1986,Q1 Sep-Nov,1.44,0.86,0.26,0.47,0.53,1.28
1986,Q2 Dec-Feb,1.47,0.88,0.28,0.51,0.54,1.32
1986,Q3 Mar-May,1.55,1.22,0.62,0.56,0.57,1.82
1986,Q4 Jun-Aug,1.59,1.42,0.82,0.63,0.59,2.12
1986,MY Sep-Aug,1.51,1.10,0.50,0.54,0.56,1.63
1987,Q1 Sep-Nov,1.55,1.20,0.60,0.58,0.57,1.79
1987,Q2 Dec-Feb,1.77,1.06,0.46,0.49,0.66,1.58
1987,Q3 Mar-May,1.89,1.12,0.52,0.55,0.70,1.68
1987,Q4 Jun-Aug,2.59,1.18,0.58,0.58,0.96,1.76
1987,MY Sep-Aug,1.95,1.14,0.54,0.55,0.72,1.70
1988,Q1 Sep-Nov,2.56,1.15,0.55,0.53,0.95,1.71
1988,Q2 Dec-Feb,2.57,1.14,0.54,0.53,0.95,1.70
1988,Q3 Mar-May,2.58,1.34,0.74,0.61,0.96,2.00
1988,Q4 Jun-Aug,2.42,1.28,0.68,0.66,0.90,1.91
1988,MY Sep-Aug,2.53,1.23,0.63,0.58,0.94,1.83
1989,Q1 Sep-Nov,2.25,1.19,0.59,0.62,0.83,1.78
1989,Q2 Dec-Feb,2.30,1.18,0.58,0.61,0.85,1.76
1989,Q3 Mar-May,2.50,1.25,0.65,0.66,0.93,1.87
1989,Q4 Jun-Aug,2.59,1.36,0.76,0.71,0.96,2.02
1989,MY Sep-Aug,2.41,1.25,0.65,0.65,0.89,1.86
1990,Q1 Sep-Nov,2.22,1.54,0.94,0.93,0.82,2.29
1990,Q2 Dec-Feb,2.27,1.28,0.72,0.73,0.84,1.91
1990,Q3 Mar-May,2.40,1.29,0.75,0.71,0.89,1.92
1990,Q4 Jun-Aug,2.30,1.26,0.72,0.70,0.85,1.89
1990,MY Sep-Aug,2.30,1.34,0.78,0.77,0.85,2.00
1991,Q1 Sep-Nov,2.31,1.26,0.72,0.66,0.86,1.88
1991,Q2 Dec-Feb,2.40,1.25,0.71,0.57,0.89,1.86
1991,Q3 Mar-May,2.49,1.33,0.79,0.65,0.92,1.98
1991,Q4 Jun-Aug,2.32,1.37,0.83,0.67,0.86,2.05
1991,MY Sep-Aug,2.38,1.30,0.76,0.64,0.88,1.94
1992,Q1 Sep-Nov,2.06,1.37,0.83,0.66,0.76,2.05
1992,Q2 Dec-Feb,2.00,1.21,0.67,0.59,0.74,1.81
1992,Q3 Mar-May,2.13,1.20,0.66,0.66,0.79,1.79
1992,Q4 Jun-Aug,2.19,1.12,0.58,0.59,0.81,1.67
1992,MY Sep-Aug,2.10,1.23,0.69,0.62,0.78,1.83
1993,Q1 Sep-Nov,2.31,1.13,0.59,0.58,0.86,1.69
1993,Q2 Dec-Feb,2.72,1.15,0.61,0.48,1.01,1.72
1993,Q3 Mar-May,2.66,1.12,0.58,0.54,0.99,1.68
1993,Q4 Jun-Aug,2.35,1.25,0.71,0.63,0.87,1.87
1993,MY Sep-Aug,2.51,1.16,0.62,0.56,0.93,1.74
1994,Q1 Sep-Nov,2.08,1.23,0.69,0.56,0.77,1.84
1994,Q2 Dec-Feb,2.18,1.23,0.69,0.53,0.81,1.84
1994,Q3 Mar-May,2.36,1.16,0.62,0.62,0.87,1.73
1994,Q4 Jun-Aug,2.59,1.09,0.55,0.58,0.96,1.62
1994,MY Sep-Aug,2.30,1.18,0.64,0.57,0.85,1.76
1995,Q1 Sep-Nov,2.78,1.11,0.57,0.59,1.03,1.66
1995,Q2 Dec-Feb,3.18,1.20,0.66,0.65,1.18,1.80
1995,Q3 Mar-May,3.83,1.30,0.76,0.78,1.42,1.94
1995,Q4 Jun-Aug,4.31,1.44,0.90,0.70,1.60,2.15
1995,MY Sep-Aug,3.53,1.26,0.72,0.68,1.31,1.89
1996,Q1 Sep-Nov,3.03,1.46,0.92,0.64,1.12,2.17
1996,Q2 Dec-Feb,2.66,1.14,0.60,0.62,0.98,1.70
1996,Q3 Mar-May,2.76,1.14,0.60,0.56,1.02,1.71
1996,Q4 Jun-Aug,2.49,1.11,0.57,0.53,0.92,1.65
1996,MY Sep-Aug,2.74,1.21,0.67,0.59,1.01,1.81
1997,Q1 Sep-Nov,2.52,1.19,0.65,0.53,0.93,1.78
1997,Q2 Dec-Feb,2.54,1.16,0.62,0.52,0.94,1.73
1997,Q3 Mar-May,2.43,0.98,0.44,0.45,0.90,1.47
1997,Q4 Jun-Aug,2.12,1.06,0.52,0.41,0.79,1.58
1997,MY Sep-Aug,2.41,1.10,0.56,0.48,0.89,1.64
1998,Q1 Sep-Nov,1.89,1.09,0.55,0.40,0.70,1.63
1998,Q2 Dec-Feb,2.04,0.94,0.40,0.38,0.75,1.41
1998,Q3 Mar-May,2.03,0.97,0.43,0.55,0.75,1.45
1998,Q4 Jun-Aug,1.82,0.93,0.39,0.61,0.67,1.39
1998,MY Sep-Aug,1.95,0.99,0.45,0.48,0.72,1.47
1999,Q1 Sep-Nov,1.71,1.01,0.47,0.71,0.63,1.51
1999,Q2 Dec-Feb,1.90,1.12,0.58,0.80,0.70,1.68
1999,Q3 Mar-May,2.06,1.19,0.65,0.96,0.76,1.78
1999,Q4 Jun-Aug,1.69,1.34,0.80,0.96,0.63,2.00
1999,MY Sep-Aug,1.84,1.17,0.63,0.86,0.68,1.74
2000,Q1 Sep-Nov,1.74,1.54,1.00,0.98,0.64,2.30
2000,Q2 Dec-Feb,1.97,1.73,1.19,0.88,0.73,2.58
2000,Q3 Mar-May,1.89,1.58,1.04,1.06,0.70,2.35
2000,Q4 Jun-Aug,1.84,1.51,0.97,0.88,0.68,2.25
2000,MY Sep-Aug,1.86,1.59,1.05,0.95,0.69,2.37
2001,Q1 Sep-Nov,1.87,1.34,0.80,0.77,0.69,2.00
2001,Q2 Dec-Feb,1.96,0.95,0.41,0.59,0.73,1.42
2001,Q3 Mar-May,1.93,1.04,0.50,0.83,0.71,1.55
2001,Q4 Jun-Aug,2.16,1.18,0.64,0.85,0.80,1.76
2001,MY Sep-Aug,1.98,1.13,0.59,0.76,0.73,1.68
2002,Q1 Sep-Nov,2.36,1.24,0.70,0.88,0.88,1.86
2002,Q2 Dec-Feb,2.33,1.22,0.68,0.96,0.86,1.82
2002,Q3 Mar-May,2.35,1.27,0.73,0.99,0.87,1.90
2002,Q4 Jun-Aug,2.22,1.27,0.73,1.01,0.82,1.90
2002,MY Sep-Aug,2.32,1.25,0.71,0.96,0.86,1.87
2003,Q1 Sep-Nov,2.17,1.47,0.93,0.99,0.80,2.19
2003,Q2 Dec-Feb,2.44,1.50,0.96,1.13,0.90,2.23
2003,Q3 Mar-May,2.84,1.74,1.20,1.47,1.05,2.60
2003,Q4 Jun-Aug,2.55,1.71,1.17,1.44,0.94,2.55
2003,MY Sep-Aug,2.50,1.60,1.06,1.25,0.93,2.39
2004,Q1 Sep-Nov,2.13,1.80,1.26,1.51,0.79,2.69
2004,Q2 Dec-Feb,2.04,1.69,1.17,1.37,0.75,2.53
2004,Q3 Mar-May,2.00,1.24,0.73,1.72,0.74,1.85
2004,Q4 Jun-Aug,2.03,1.76,1.25,1.92,0.75,2.62
2004,MY Sep-Aug,2.05,1.62,1.10,1.63,0.76,2.42
2005,Q1 Sep-Nov,1.83,2.43,1.92,1.92,0.68,3.63
2005,Q2 Dec-Feb,1.98,2.21,1.70,1.74,0.73,3.30
2005,Q3 Mar-May,2.11,2.64,2.13,2.33,0.78,3.94
2005,Q4 Jun-Aug,2.12,3.15,2.64,2.36,0.79,4.70
2005,MY Sep-Aug,2.01,2.61,2.10,2.09,0.75,3.89
2006,Q1 Sep-Nov,2.54,2.16,1.65,1.76,0.94,3.22
2006,Q2 Dec-Feb,3.17,2.27,1.76,1.84,1.17,3.39
2006,Q3 Mar-May,3.44,2.38,1.87,2.49,1.27,3.55
2006,Q4 Jun-Aug,3.37,2.46,1.95,2.24,1.25,3.67
2006,MY Sep-Aug,3.13,2.32,1.81,2.08,1.16,3.46
2007,Q1 Sep-Nov,3.34,1.61,1.10,2.39,1.24,2.41
2007,Q2 Dec-Feb,4.10,2.15,1.64,2.46,1.52,3.20
2007,Q3 Mar-May,5.04,2.43,1.92,3.05,1.87,3.63
2007,Q4 Jun-Aug,5.33,2.44,1.93,3.35,1.97,3.64
2007,MY Sep-Aug,4.45,2.16,1.65,2.81,1.65,3.22
2008,Q1 Sep-Nov,4.55,1.81,1.30,2.09,1.68,2.70
2008,Q2 Dec-Feb,4.11,1.49,1.02,1.37,1.52,2.22
2008,Q3 Mar-May,3.89,1.52,1.07,1.63,1.44,2.27
2008,Q4 Jun-Aug,3.65,1.60,1.15,2.04,1.35,2.38
2008,MY Sep-Aug,4.05,1.60,1.13,1.78,1.50,2.39
2009,Q1 Sep-Nov,3.50,1.82,1.37,2.02,1.30,2.72
2009,Q2 Dec-Feb,3.60,1.80,1.35,2.05,1.33,2.68
2009,Q3 Mar-May,3.48,1.49,1.04,2.23,1.29,2.22
2009,Q4 Jun-Aug,3.52,1.61,1.16,2.24,1.30,2.40
2009,MY Sep-Aug,3.53,1.68,1.23,2.13,1.31,2.51
2010,Q1 Sep-Nov,4.32,2.13,1.68,2.19,1.60,3.18
2010,Q2 Dec-Feb,5.14,2.24,1.79,2.54,1.90,3.34
2010,Q3 Mar-May,6.07,2.53,2.08,3.19,2.25,3.77
2010,Q4 Jun-Aug,6.53,2.75,2.30,2.88,2.42,4.11
2010,MY Sep-Aug,5.51,2.41,1.96,2.70,2.04,3.60
2011,Q1 Sep-Nov,5.98,2.70,2.25,2.87,2.21,4.02
2011,Q2 Dec-Feb,6.07,2.13,1.98,2.97,2.25,3.18
2011,Q3 Mar-May,6.34,2.16,2.16,3.29,2.35,3.22
2011,Q4 Jun-Aug,7.05,2.38,2.38,2.86,2.61,3.55
2011,MY Sep-Aug,6.36,2.34,2.19,3.00,2.36,3.49
2012,Q1 Sep-Nov,6.89,2.29,2.29,3.03,2.55,3.42
2012,Q2 Dec-Feb,6.96,2.16,2.16,2.95,2.58,3.22
2012,Q3 Mar-May,7.02,2.37,2.37,2.98,2.60,3.53
2012,Q4 Jun-Aug,6.66,2.29,2.29,2.96,2.47,3.41
2012,MY Sep-Aug,6.88,2.28,2.28,2.98,2.55,3.40
2013,Q1 Sep-Nov,4.80,2.01,2.01,2.77,1.78,3.00
2013,Q2 Dec-Feb,4.39,2.04,2.04,2.73,1.63,3.05
2013,Q3 Mar-May,4.65,2.41,2.41,3.03,1.72,3.59
2013,Q4 Jun-Aug,4.06,2.04,2.04,2.94,1.50,3.04
2013,MY Sep-Aug,4.48,2.12,2.12,2.87,1.66,3.17
2014,Q1 Sep-Nov,3.55,1.78,1.78,2.36,1.32,2.66
2014,Q2 Dec-Feb,3.80,1.51,1.51,1.58,1.41,2.26
2014,Q3 Mar-May,3.73,1.51,1.51,2.21,1.38,2.25
