Year,Month,Biodiesel 1/,Diesel 2/
1994,Apr,NA,1.11
1994,May,NA,1.10
1994,Jun,NA,1.10
1994,Jul,NA,1.11
1994,Aug,NA,1.12
1994,Sep,NA,1.13
1994,Oct,NA,1.12
1994,Nov,NA,1.13
1994,Dec,NA,1.11
1995,Jan,NA,1.10
1995,Feb,NA,1.09
1995,Mar,NA,1.09
1995,Apr,NA,1.10
1995,May,NA,1.13
1995,Jun,NA,1.12
1995,Jul,NA,1.10
1995,Aug,NA,1.11
1995,Sep,NA,1.12
1995,Oct,NA,1.12
1995,Nov,NA,1.12
1995,Dec,NA,1.13
1996,Jan,NA,1.15
1996,Feb,NA,1.15
1996,Mar,NA,1.18
1996,Apr,NA,1.28
1996,May,NA,1.27
1996,Jun,NA,1.20
1996,Jul,NA,1.18
1996,Aug,NA,1.20
1996,Sep,NA,1.27
1996,Oct,NA,1.32
1996,Nov,NA,1.32
1996,Dec,NA,1.31
1997,Jan,NA,1.29
1997,Feb,NA,1.28
1997,Mar,NA,1.23
1997,Apr,NA,1.21
1997,May,NA,1.20
1997,Jun,NA,1.17
1997,Jul,NA,1.15
1997,Aug,NA,1.17
1997,Sep,NA,1.16
1997,Oct,NA,1.18
1997,Nov,NA,1.19
1997,Dec,NA,1.17
1998,Jan,NA,1.12
1998,Feb,NA,1.08
1998,Mar,NA,1.06
1998,Apr,NA,1.07
1998,May,NA,1.07
1998,Jun,NA,1.04
1998,Jul,NA,1.03
1998,Aug,NA,1.01
1998,Sep,NA,1.02
1998,Oct,NA,1.04
1998,Nov,NA,1.02
1998,Dec,NA,0.97
1999,Jan,NA,0.97
1999,Feb,NA,0.96
1999,Mar,NA,1.00
1999,Apr,NA,1.08
1999,May,NA,1.07
1999,Jun,NA,1.07
1999,Jul,NA,1.12
1999,Aug,NA,1.17
1999,Sep,NA,1.22
1999,Oct,NA,1.23
1999,Nov,NA,1.26
1999,Dec,NA,1.29
2000,Jan,NA,1.36
2000,Feb,NA,1.46
2000,Mar,NA,1.48
2000,Apr,NA,1.42
2000,May,NA,1.42
2000,Jun,NA,1.42
2000,Jul,NA,1.43
2000,Aug,NA,1.47
2000,Sep,NA,1.64
2000,Oct,NA,1.64
2000,Nov,NA,1.62
2000,Dec,NA,1.57
2001,Jan,NA,1.52
2001,Feb,NA,1.49
2001,Mar,NA,1.40
2001,Apr,NA,1.42
2001,May,NA,1.50
2001,Jun,NA,1.48
2001,Jul,NA,1.38
2001,Aug,NA,1.39
2001,Sep,NA,1.50
2001,Oct,NA,1.35
2001,Nov,NA,1.26
2001,Dec,NA,1.17
2002,Jan,NA,1.15
2002,Feb,NA,1.15
2002,Mar,NA,1.23
2002,Apr,NA,1.31
2002,May,NA,1.31
2002,Jun,NA,1.29
2002,Jul,NA,1.30
2002,Aug,NA,1.33
2002,Sep,NA,1.41
2002,Oct,NA,1.46
2002,Nov,NA,1.42
2002,Dec,NA,1.43
2003,Jan,NA,1.49
2003,Feb,NA,1.65
2003,Mar,NA,1.71
2003,Apr,NA,1.53
2003,May,NA,1.45
2003,Jun,NA,1.42
2003,Jul,NA,1.44
2003,Aug,NA,1.49
2003,Sep,NA,1.47
2003,Oct,NA,1.48
2003,Nov,NA,1.48
2003,Dec,NA,1.49
2004,Jan,NA,1.55
2004,Feb,NA,1.58
2004,Mar,NA,1.63
2004,Apr,NA,1.69
2004,May,NA,1.75
2004,Jun,NA,1.71
2004,Jul,NA,1.74
2004,Aug,NA,1.83
2004,Sep,NA,1.92
2004,Oct,NA,2.13
2004,Nov,NA,2.15
2004,Dec,NA,2.01
2005,Jan,NA,1.96
2005,Feb,NA,2.03
2005,Mar,NA,2.21
2005,Apr,NA,2.29
2005,May,NA,2.20
2005,Jun,NA,2.29
2005,Jul,NA,2.37
2005,Aug,NA,2.50
2005,Sep,NA,2.82
2005,Oct,NA,3.10
2005,Nov,NA,2.57
2005,Dec,NA,2.44
2006,Jan,NA,2.47
2006,Feb,NA,2.48
2006,Mar,NA,2.56
2006,Apr,NA,2.73
2006,May,NA,2.90
2006,Jun,NA,2.90
2006,Jul,NA,2.93
2006,Aug,NA,3.05
2006,Sep,NA,2.78
2006,Oct,NA,2.52
2006,Nov,NA,2.55
2006,Dec,NA,2.61
2007,Jan,NA,2.49
2007,Feb,NA,2.49
2007,Mar,NA,2.67
2007,Apr,3.10,2.83
2007,May,3.17,2.80
2007,Jun,3.16,2.81
2007,Jul,3.20,2.87
2007,Aug,3.22,2.87
2007,Sep,3.35,2.95
